"LOCATION","INCOME_CLASS","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","TAX_PPP_LAGGED2","PUBLIC_EXP_LAGGED2","PROP_PUBLIC_HEALTH_EXP_LAGGED2","OOP_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT","PRED_NEO","IC_05_NEO","IC_95_NEO","PRED_NEO_U5","IC_05_NEO_U5","IC_95_NEO_U5","IMPACT_NEO","IMPACT_NEO_U5","HEALTH","NON_HEALTH","EFI","TARG_HEALTH","TARG_NON_HEALTH","TARG_IMPACT_NEO","TARG_IMPACT_NEO_U5","TARG_PROP"
"Ghana","LM",25.0806664797076,26.7683823891477,3.75333333333333,0.0340425235047233,2582.79505474373,1393.93252342105,727.973366779372,0.109343739698337,45.7184023875689,31.7,3.5,8.85358500435182,5.74466673533122,14.5759695647606,75.3723248356505,6.22033325831095,3.78957,8.3,4.02827,50.40315,-0.0469185333333333,-0.0456240666666667,0.107966766666667,0.1229831,-0.0074845,5.56666666666667,0.0949,67.2,1.86666666666667,364.106666666667,92.3333333333333,0.9,66.1299765633138,51.3933333333333,238540,25891791.8681621,108.542767955739,-1.2369685557064,7.92865181309965,-0.0000697841248439922,-0.0000699947502145268,-0.0000695734994734576,-0.0000876535687709137,-0.000088071846397351,-0.0000872352911444763,0.0000697841248439922,0.0000876535687709137,79.5993303244457,648.374036454926,0.39308,79.5993303245224,648.374036455712,0.000125431771432058,0.000288434092177976,0.109343739698313
"Guatemala","LM",10.8137251427025,17.480692705874,2.81,0.0479993043946136,3692.55967409597,3819.63929480582,477.136315868735,0.170024740219529,114.778016170347,33.7,2.06666666666667,4.61848019193316,3.46266667048136,64.7342534646182,91.3277970690097,4.62833333015442,3.12438666666667,12.8666666666667,3.23826666666667,22.96472,-0.572982833333333,-0.717102766666667,-0.7436287,-0.1528551,-1.02427223333333,15.9666666666667,0.7262,52.3,0.533333333333333,0.74,92.6666666666667,0.6,84.9772113439128,48.7013333333333,108890,14769749.2547632,135.639170307312,-90.3694583605315,15.6993606120269,-0.0000722962401306722,-0.0000724506280897655,-0.000072141852171579,-0.0000828786877891222,-0.0000831393655540877,-0.0000826180100241567,0.0000722962401306722,0.0000828786877891222,81.1249781548848,396.01133771385,0.38813,51.0245419139173,396.011337713834,0.000126066575332646,0.000282546306799639,0.114139701619489
"Guinea","L",31.462160332813,64.2334823792632,5.05666666666667,0.0380409514523848,1318.36036243908,0,246.790813991289,0.0711188063481294,24.7757048022554,26.4,10.3,17.3458496302102,4.2039999961853,18.0150647038817,62.8939729445343,3.14066664377848,2.12064,2.9,2.735875,51.35491,-1.11446566666667,-1.16697466666667,-1.45404833333333,-1.040136,-1.443962,17.1,0.1,45.3,1.6,400.433333333333,61.3333333333333,0.3,26.2821379343669,33.9663333333333,245860,10230380.8060241,41.6105946718626,-11.0608537411855,10.4482728772713,-0.0000827446598074467,-0.000082872476860072,-0.0000826168427548215,-0.0000638186074872199,-0.000064059070677416,-0.0000635781442970237,0.0000827446598074467,0.0000638186074872199,17.5514681087437,229.239345882545,0.33883,16.0731220244128,229.239345882703,0.000123510322504586,0.000281442711495471,0.065521015550252
"Guinea-Bissau","L",32.3419528346478,43.1493907650116,5.11666666666667,0.0239153328915524,1004.8663703635,0,181.905088385008,0.180010378315728,23.507597531008,42,30.5,3.23149982255467,4.42300017674764,17.4935580941888,62.5160620688073,4.63733323415121,2.74291,11.3333333333333,2.490925,41.0545366666667,-1.196865,-1.096204,-0.803292066666667,-1.16268433333333,-1.38686633333333,22.3333333333333,0.0538,43,3.8,70.83,85.3333333333333,0.4,9.83235200246173,40.509,36130,1610268.77557328,44.5687455182197,-15.1106237516679,12.0227043823257,-0.0000617392079050689,-0.0000618381139812326,-0.0000616403018289051,-0.0000916278715266254,-0.0000919425813761152,-0.0000913131616771355,0.0000617392079050689,0.0000916278715266254,32.7448037777412,149.160284607267,0.39477,17.2398643291346,149.160284607282,0.000125607076106986,0.000277799126369681,0.103604861169458
"Haiti","L",25.179224963859,36.3302553254365,3.41333333333333,0.0372860451989305,56.5059205511039,0,14.699067231618,0.177006757115121,1.34978920890974,31.2,8.1,5.3927260978432,14.8906666437785,28.2089494824474,62.6807504568917,17.8139998118083,2.12064,6.5,3.14998,52.15047,-1.21537533333333,-1.64917433333333,-0.9061919,-1.0072991,-1.368493,49.5333333333333,0.1372,37.3,2.1,8.11333333333333,67,0.766666666666667,36.7385108947754,48.4926666666667,27750,10420122.1616037,375.499897715449,-72.6580133053557,18.9007006918433,-0.000069776137380599,-0.0000698559150850367,-0.0000696963596761612,-0.000082246939644462,-0.0000826386875433988,-0.0000818551917455251,0.000069776137380599,0.000082246939644462,2.60183422328584,12.0972330083322,0.82062,1.04974763228108,12.097233008336,0.0000819752434402535,0.000103823367316086,0.0798470508915122
"Honduras","LM",7.25321162770102,6.49161135507244,2.98333333333333,0.044687952213258,1840.13967499318,2764.99554615948,499.90887289309,0.128475904064261,66.613245266832,42.8666666666667,6.76666666666667,5.55245212607614,4.1159999370575,75.1125940679893,91.4984894746127,5.66599988937378,3.73836666666667,19,3.39462,11.82405,-0.890424833333333,-0.625110466666667,-0.412486866666667,-0.183242833333333,-0.974031433333333,15.1666666666667,0.8139,82.8,0.466666666666667,1.4,97.3333333333333,0.733333333333333,82.2625643333333,52.5433333333333,112490,8203007.93135895,72.9221080216815,-86.5899638380154,14.8229470816529,-0.0000819221206329551,-0.0000820687864588831,-0.0000817754548070271,-0.0000763871129006138,-0.0000765201639805922,-0.0000762540618206354,0.0000819221206329551,0.0000763871129006138,64.2262443946855,435.682628498405,0.38103,31.564271716147,435.682628498624,0.000121530883518561,0.000287626839001696,0.0675537316601533
"India","LM",23.8963619051234,19.6707409265931,2.70666666666667,0.0546498230258424,4934.59367924516,4585.55689656994,1230.7824580896,0.0312932910920854,77.8395203609509,30.1,4.3,10.053398830555,2.55100003878276,44.0295967334088,87.7641469717373,3.50299994150798,4.46975,10.9333333333333,4.61478,36.35953,-0.505879033333333,-0.0463327333333333,-1.29802966666667,-0.398649633333333,-0.0666834666666667,17.4333333333333,0.700833333333333,43.9,0.8,14.9633333333333,81,0.7,74.6,31.28,3287260,1269621791.05153,386.224938414221,79.5937037632538,22.9250064074085,-0.0000453260022179515,-0.0000455024607738663,-0.0000451495436620367,-0.000124264728869072,-0.000124460089873338,-0.000124069367864806,0.0000453260022179515,0.000124264728869072,38.5152337320303,1192.26722435757,0.39705,38.5152337320505,304.610853261107,0.000125896438518132,0.000280788588590092,0.112248048726236
"Jordan","LM",11.139101170936,7.1455353892714,3.48333333333333,0.0337827629008095,9041.57004383754,14093.7572524949,3325.4972020122,0.139289228859968,162.776393718049,27.5,0,4.50793353630021,12.5333331425985,97.8217531145988,99.1112558573537,21.0539995829264,4.75650333333333,10.8,4.68622333333333,18.53579,0.0714528666666667,0.0602097,-0.4500108,0.2383922,0.2666635,8.76666666666667,2.2572,99.6,0.1,2.34,98,1.8,99.5978749593099,87.1483333333333,89320,7888822.29169034,88.3208944434656,36.7794549063252,31.2454905847484,-0.0000354986050724866,-0.0000357677001776104,-0.0000352295099673628,-0.0000891469988831492,-0.0000894032857058789,-0.0000888907120604195,0.0000354986050724866,0.0000891469988831492,463.205940844261,2862.29126116794,0.27093,388.566030999059,2862.29126117089,0.000130657415439509,0.000329975214393697,0.119527249607346
"Kenya","LM",19.9528067968738,25.030206082312,3.74,0.0264906050901181,1849.12026441539,1498.66237070285,457.004380084611,0.116462753137452,28.1319093764537,45.2,10.8,9.12055011218422,9.69033336639404,30.5885935922318,55.0120572915528,9.65166632334391,2.20501333333333,9.8,2.17022666666667,78.747095,-0.9845827,-0.5489733,-1.24458533333333,-0.198690566666667,-0.889945266666667,22.8666666666667,0.1785,70.6,5.8,70.7733333333333,93.3333333333333,1.4,26.1558511098226,23.972,580370,41756420.5426354,71.9479307039223,37.7915552866614,0.595966252176952,-0.0000907878574728814,-0.0000910171992572698,-0.0000905585156884929,-0.000108058095746989,-0.00010864338955941,-0.000107472801934568,0.0000907878574728814,0.000108058095746989,53.2239883005283,403.780391784083,0.49939,52.0878348737795,403.780391784098,0.00012608103698585,0.000282695713095313,0.114260726735998
"Kyrgyz Republic","LM",14.0088707345802,7.63240312742736,3.04333333333333,0.0452935564735138,308.199687820637,261.592823817372,106.588597092196,0.117070555988997,8.232246019485,23.7333333333333,0.666666666666667,9.124163631452,8.53333346048991,95.7139833734862,85.3309861315429,9.75566673278809,6.14967666666667,23.3,6.15031,6.63766333333333,-1.18055133333333,-0.646393966666667,-1.01631146666667,-0.264455233333333,-1.19556166666667,7.8,1.91156666666667,98.6666666666667,0.133333333333333,0.233333333333333,96,4.7,99.4601404825846,35.3603333333333,199949.00390625,5738923.18720958,28.7019343687273,74.6204048109256,41.5068937131826,-0.0000691477495505599,-0.0000692473745671971,-0.0000690481245339228,-0.0000614642405950877,-0.0000616096258673243,-0.0000613188553228512,0.0000691477495505599,0.0000614642405950877,12.4783863236706,94.1102107685254,0.31655,5.93326359333191,94.1102107682141,0.000124805980444131,0.000277394840376689,0.0593068526577731
"Lao PDR","LM",26.6361331046862,33.1737185392606,3.25,0.0370497348775287,5163.00680618659,0,1144.47229371842,0.0453310897769699,39.8705954456825,29.8,5.3,5.93555351830718,0.700000007947286,59.0648582052152,70.0707161368294,0.657999992370605,2.88857333333333,25.0666666666667,3.14998,27.3840833333333,-1.12998566666667,-0.843862166666667,-0.1021104,-0.937792833333333,-0.943982,19.8,0.5057,38.55,0.3,17.65,77,1.1,72.2032461344207,30.6626666666667,236800,6446700.53181878,27.2242421107212,103.750259895045,18.4449780890361,-0.000077071982737231,-0.000077189472685272,-0.0000769544927891901,-0.000106629424131923,-0.000106651444546276,-0.000106607403717571,0.000077071982737231,0.000106629424131923,51.8801762938044,1092.59211742462,0.46447,51.8801762938544,597.463385582883,0.000121493889058663,0.000291054762498803,0.0798963435379416
"Liberia","L",23.2511326226872,46.206533211605,4.78333333333333,0.0274556366385022,549.922296925464,0,181.903725413946,0.124458621724544,20.436729469559,27.4,4.3,7.53662750719388,2.26866666475932,16.0760768532083,69.841154609122,2.2960000038147,2.44478,11.0333333333333,2.71617,51.35491,-0.610480366666667,-1.233944,-0.460124033333333,-1.06637566666667,-0.925289066666667,36.9333333333333,0.0228,65.1,1.66666666666667,294.386666666667,75.6666666666667,0.8,5.94860493342082,48.1963333333333,111370,4177652.92862793,37.5114746217826,-9.41083615437112,6.43161986225299,-0.000073016309236031,-0.000073144065222586,-0.0000728885532494761,-0.00006123735614687,-0.00006142834555656,-0.0000610463667371799,0.000073016309236031,0.00006123735614687,22.6394869515796,159.264238462366,0.31936,10.8223100337993,159.26423846252,0.000124181264440454,0.000279346566825369,0.0636282535537106
"Madagascar","L",26.7209176464809,48.3909587747994,5.24,0.0228512932205886,33.0065037655843,32.4669368087234,4.76094903139555,0.195275544901821,0.499517929712241,33.9,38.6,8.14790218806054,2.31400005022685,8.25913661232679,47.2535946289337,2.76266658306122,2.58162,14.1666666666667,2.65848,39.1232366666667,-0.524388466666667,-1.02705116666667,-0.740020566666667,-0.552568866666667,-0.889591033333333,32.4333333333333,0.160666666666667,10,0.2,54.8966666666667,71,0.2,16.3119922637939,32.5816666666667,587210,21923654.3724224,37.3352878398229,46.6911709147164,-19.3561140778288,-0.0000648831267895113,-0.0000649758183750182,-0.0000647904352040043,-0.0000362105531416841,-0.0000363245862113585,-0.0000360965200720097,0.0000648831267895113,0.0000362105531416841,0.929696916355563,3.83125211503999,1,0.929696916355555,3.83125211503996,0.0000648831267895108,0.0000362105531416838,0.195275544901821
"Malawi","L",25.6166910358801,39.0015346489914,5.08333333333333,0.0320794745000972,391.309192901729,568.418020812234,104.940364366116,0.32861307325318,2.71760695706601,36.9,34,12.1018928529005,6.29133335749308,24.3001964493674,63.2783258638366,7.62366676330566,1.86973333333333,21.8,1.99667666666667,78.747095,-0.4585771,-0.4382262,-0.0105677,-0.659436866666667,-0.166447066666667,21.1333333333333,0.019,71.4,10.4666666666667,286.03,95.3333333333333,1.3,7.9,15.676,118480,14712707.3016271,124.178825975921,34.1936053269224,-13.1728349923419,-0.0000599940113389655,-0.0000601105279838659,-0.0000598774946940651,-0.0000846389394923914,-0.0000851437960380847,-0.000084134082946698,0.0000599940113389655,0.0000846389394923914,34.4847756426579,70.4555887234581,0.37345,6.46813481297488,70.4555887234719,0.000125460571782384,0.00027628556024412,0.0840850457519812
"Mali","L",40.002699413446,80.533694730751,6.32,0.0294391242826751,1150.84515393273,1380.35220442101,213.625156579203,0.129682990486651,29.7835253359038,34.9,8.1,3.12923310987879,7.35233322779338,30.1945062168129,68.0428390084264,9.24466673533123,1.946805,10.2,2.39052,50.40315,-0.713959666666667,-0.894476033333333,-0.975202633333333,-0.434095833333333,-0.5407255,6.66666666666667,0.1041,28.1,1.4,407.303333333333,68,0.1,25.9961107889811,36.799,1240190,16397154.3295831,13.2214856833091,-3.54329433945334,17.2677720617007,-0.0000489750697088141,-0.0000490500493422383,-0.0000489000900753899,-0.000093939684746976,-0.0000944052137281138,-0.0000934741557658381,0.0000489750697088141,0.000093939684746976,27.7035491483701,185.921607430833,0.36161,22.2711146461127,185.921607430979,0.000125675505223079,0.000278506081556178,0.106973550390806
"Mauritania","LM",22.2535231118343,20.2093367772199,4.70666666666667,0.0364940445598393,1991.64300370878,0,537.863702779607,0.0663284621196253,34.8230287802584,34.4,19,5.62409591407221,10.2533330917359,34.5322901168182,59.603387883485,12.9393332799276,1.47283666666667,22.1,1.60834666666667,30.5919,-0.7086847,-0.943283666666667,-1.127947,-0.748732433333333,-0.907422533333333,7.73333333333333,0.1515,65.1,0.366666666666667,36.46,73,1.03333333333333,34.1358172098796,47.4936666666667,1030700,3418096.33840925,3.31628634753978,-10.326396925235,20.2092672063538,-0.000101276118162674,-0.000101468001863913,-0.000101084234461435,-0.0000434631435578569,-0.0000437177844330983,-0.0000432085026826155,0.000101276118162674,0.0000434631435578569,35.6756722353386,502.188030544268,0.25497,35.6756722353505,482.115792615029,0.00012120181289425,0.000288908982382063,0.0688996915885035
"Mongolia","LM",15.0215620803699,12.4469132873035,2.66333333333333,0.0365131929064851,8139.0123720034,11009.4936744046,3053.53027079782,0.0550056192643335,67.5017997787143,26.1666666666667,0.1,10.9355651798691,5.07433327039083,56.0539580477875,77.7736968605109,4.60833334922791,5.50439,7.56666666666667,5.31418,19.6550266666667,-0.654122266666667,-0.5979517,0.558238666666667,-0.223119533333333,-0.3342394,19.5666666666667,2.8983,98.4,0.1,14.9633333333333,98,6.51666666666667,76.6713679266471,67.8533333333333,1564120,2883569.15381516,1.84357284211899,102.946406208466,46.8236811262636,-0.0000636965682428856,-0.0000638474441657602,-0.000063545692320011,-0.000115732495088683,-0.00011590568421938,-0.000115559305957985,0.0000636965682428856,0.000115732495088683,167.961323487622,2885.5689473102,0.43593,167.961323487833,1423.75716596834,0.000123586179949555,0.000306426082514395,0.10552200316855
"Morocco","LM",13.9003254654617,9.46716850057314,2.43666666666667,0.0582764648161947,7105.36083045786,14905.8925758983,2210.6734079917,0.076929488383239,191.90439718726,24.8,1.16666666666667,1.06253490390345,8.99666659037272,82.6482382369002,78.9542992426418,9.8876667022705,3.67141,14.8333333333333,3.97273333333333,19.0661166666667,-0.347495333333333,-0.10499,-0.415242966666667,-0.0936928666666667,-0.202900133333333,4.9,0.62,73.85,0.1,0.00666666666666667,99,0.966666666666667,92.9921366373698,58.5803333333333,446550,33520236.3581776,75.0649117863119,-8.42047954454969,29.8853946983021,-0.0000490903135451796,-0.0000492718226090131,-0.000048908804481346,-0.0000441282997012481,-0.0000444191087799733,-0.0000438374906225229,0.0000490903135451796,0.0000441282997012481,170.065974259233,2040.60743373247,0.21122,170.06597425924,1438.73858099035,0.00012362411497836,0.000306704777732087,0.105709530535769
"Mozambique","L",25.9123162266917,50.6752265045221,4.85333333333333,0.0246401378179641,811.674669455366,1828.75189726439,289.444311850189,0.123343288820022,2.73259829091973,36.9,34,11.0733134082331,3.60999997456868,22.0387524540649,42.2780514648363,3.42900005976359,1.20726666666667,39.2,1.31937666666667,39.1232366666667,-0.502057566666667,-0.6173599,0.3723213,-0.425964333333333,-0.541607,27.4,0.0503333333333333,54.3,12.1,360.053333333333,75.3333333333333,0.7,19.0003716786702,32.3373333333333,799380,24338951.2683329,30.4472857318583,35.4726159786443,-17.2304489756597,-0.0000718453952706061,-0.0000719407560972776,-0.0000717500344439345,-0.0000589550326655845,-0.0000592209021316938,-0.0000586891631994752,0.0000718453952706061,0.0000589550326655845,35.7010133538504,253.743298496339,0.30759,17.9118565822531,253.743298496522,0.000123275371391108,0.000282176741517854,0.0659360083818729
"Myanmar","LM",21.5687352320987,23.5688456990255,2.15,0.0538080930732703,4036.42834917828,2055.15439395651,802.301403763567,0.0504102868393598,41.0779652392071,32.9,3.1,4.73580844389672,0.89166667064031,66.6259915691492,70.81640988204,0.997666637102764,3.04975,4.6,2.97656,38.23379,-1.44099266666667,-1.56537533333333,-1.113567,-2.06047233333333,-1.44696666666667,15.4,0.555866666666667,70.6,0.8,58.0466666666667,86,0.9,51.650001780192,29.0753333333333,676590,50525402.0087233,74.6765426753622,96.5058409420616,21.0169998737738,-0.0000905556061980888,-0.0000907000144947389,-0.0000904111979014387,-0.000215742917083399,-0.000215985971842055,-0.000215499862324744,0.0000905556061980888,0.000215742917083399,40.4442438953424,761.857159868225,0.74258,40.4442438953796,318.705354801815,0.000125922674632835,0.000281059639254212,0.112611134864385
"Nepal","L",18.7950687750499,11.7288557297875,2.51666666666667,0.0493133891925637,840.911036378208,1232.06298485372,144.84326552688,0.0895464150317891,20.1009286203916,26.4,3.1,9.33779645742825,1.54233332475027,43.7518638637286,85.9110000570181,1.314333319664,4.31891333333333,33.2,4.36046666666667,53.524585,-0.761474666666667,-0.919599833333333,-1.460549,-0.75552,-0.858102733333333,9.5,0.5036,36,0.2,2.86333333333333,88,0.3,72.7838022867839,17.1113333333333,147180,27972784.0406571,190.058323417972,84.0131736769253,28.2394400190494,-0.0000797575103707045,-0.0000799085501281853,-0.0000796064706132237,-0.0000501169391407341,-0.0000502478102606874,-0.0000499860680207809,0.0000797575103707045,0.0000501169391407341,12.9701951694296,131.87307035745,0.28099,8.76692377967514,131.873070357581,0.00012444389902623,0.000278526048598924,0.0623359225336654
"Nicaragua","LM",8.8274936602379,6.53194717442244,2.63,0.0470170800121255,2471.37114396186,3485.19798708968,559.32508490154,0.186305385272568,56.3215193151568,39.7,3.6,6.91035759108492,6.47300004959106,69.3959054082455,81.3523263228979,7.07666683197022,3.97848,33.7,3.76009,11.82405,-0.751331,-0.9195188,-0.372740866666667,-0.306426833333333,-0.761879533333333,19.9666666666667,0.8139,81,0.2,0.47,98,0.933333333333333,78.6645736694336,57.113,130370,5868777.58800578,45.0163196134523,-85.0203185008025,12.848190428037,-0.0000667995426774506,-0.0000669663926879408,-0.0000666326926669603,-0.0000530803007701538,-0.0000531789000299898,-0.0000529817015103179,0.0000667995426774506,0.0000530803007701538,104.205275435193,455.119809466347,0.27601,33.0228044237462,455.119809466547,0.000121344514103667,0.000288209090959406,0.067649911079404
